,0,ADR,NAME,Y,X,Z,6
82,or M5,   83,00001 Fix1                 ,         0.0000   ,         0.0000   ,         0.0000   ,
83,or M5,   84,00002 Fix2                 ,         0.0000   ,        23.0000   ,        -0.1500   ,
84,or M5,   85,00003 Fix3                 ,        13.8910   ,        14.4950   ,        -0.0120   ,
112,or M5,  113,                           ,         8.3942   ,        19.9485   ,        -0.3683   ,
132,or M5,  133,                      ZwErg,         8.3885   ,        19.9465   ,                      ,
149,or M5,  150,                           ,         8.3885   ,        19.9465   ,        -0.3663   ,
10,or M5,   11,TI  STATION                    ,        11.1590   ,         8.0626   ,        -0.3757   ,
12,or M5,   13,12.6  pr1             13:43,        24.4417   ,        14.3070   ,        -0.0502   ,
14,or M5,   15,12.7  pr1             13:43,        24.1483   ,        12.3332   ,        -0.0801   ,
16,or M5,   17,13.1  PL1             13:45,        23.1863   ,        11.2173   ,        -0.4792   ,
18,or M5,   19,13.2  PL1             13:45,        22.9836   ,        11.6789   ,        -0.4766   ,
20,or M5,   21,13.3  PL1             13:45,        23.4507   ,        11.9191   ,        -0.4614   ,
22,or M5,   23,13.4  PL1             13:46,        23.6650   ,        11.4289   ,        -0.4851   ,
24,or M5,   25,14.1  PL1             13:48,        11.6866   ,         1.9185   ,        -0.1250   ,
26,or M5,   27,14.2  PL1             13:49,        10.6065   ,         0.9335   ,        -0.1436   ,
28,or M5,   29,14.3  PL1             13:49,        11.0678   ,        -0.6054   ,        -0.1377   ,
30,or M5,   31,14.4  PL1             13:49,        12.5261   ,        -0.7179   ,        -0.1119   ,
32,or M5,   33,14.5  PL1             13:49,        13.2560   ,         0.4936   ,        -0.1144   ,
34,or M5,   35,14.6  PL1             13:49,        12.4903   ,         1.7932   ,        -0.1248   ,
36,or M5,   37,14.7  PL1             13:53,        12.4903   ,         1.7932   ,        -0.1248   ,
41,or M5,   42,0003  Fix3            13:57,        13.8911   ,        14.4954   ,        -0.0123   ,
43,or M5,   44,0001  Fix1            13:58,         0.0034   ,        -0.0041   ,         0.0090   ,
45,or M5,   46,0002  Fix2            13:59,         0.0010   ,        23.0000   ,        -0.1500   ,
63,or M5,   64,TI  STATION                    ,        11.1566   ,         8.0595   ,        -0.3848   ,
118,or M5,  119,11111 svdpj           16:22,        -8.3854   ,       -19.9190   ,         0.3746   ,
155,or M5,  156,00003 Fix3            16:34,        -8.3595   ,       -19.9267   ,         0.3696   ,
